Index,Survey ID,Eater Type,"Motivation
Animal Protection","Motivation
Concern for the Environment","Motivation
Cost","Motivation
Health","Motivation
Religious or Spiritual Beliefs","Motivation
Social influence (from friends, family, significant other, etc.)","Motivation
Social justice or world hunger","Motivation
Taste preferences","Motivation
Wanting to follow a food trend","Motivation
Feelings of disgust about meat",Age Transitioned to Veg'nism,Gender,State,Education,Political,Race/Ethnicity,Religion
32,317,Omnivore,,,,,,,,,,,,Male,Washington,Associate’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)","Christian (Catholic, Protestant, etc.)"
33,354,Omnivore,,,,,,,,,,,,Female,North Carolina,"Some education after high school, no degree",Moderately Liberal,Other race/ethnicity (including two or more),Other religion (including two or more)
34,359,Omnivore,,,,,,,,,,,,Female,North Dakota,Bachelor’s degree,Moderately Liberal,African American or Black,"Christian (Catholic, Protestant, etc.)"
35,366,Omnivore,,,,,,,,,,,,Female,California,Associate’s degree,Moderately Conservative,"Christian (Catholic, Protestant, etc.)","Christian (Catholic, Protestant, etc.)"
36,371,Omnivore,,,,,,,,,,,,Male,Texas,High school diploma (or equivalent),Neutral/Centrist,Other race/ethnicity (including two or more),Do not actively practice a religion
37,376,Omnivore,,,,,,,,,,,,Male,Pennsylvania,"Some education after high school, no degree",Moderately Conservative,White,Do not actively practice a religion
38,433,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Moderately Liberal,"Christian (Catholic, Protestant, etc.)",Buddhist
39,435,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
40,445,Vegetarian,Strong,Strong,Not at All,Very Strong,Not at All,Not at All,Mild,Somewhat,Not at All,Not at All,36,Female,California,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
41,447,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Buddhist
42,456,Omnivore,,,,,,,,,,,,Female,California,Associate’s degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
43,461,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
44,471,Omnivore,,,,,,,,,,,,Female,Arkansas,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
46,479,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
47,538,Vegetarian,Strong,Strong,Not at All,Very Strong,Not at All,Not at All,Mild,Somewhat,Not at All,Not at All,18,Female,Georgia,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
48,564,Omnivore,,,,,,,,,,,,Female,Indiana,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
49,568,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,19,Male,New Mexico,Associate’s degree,Strongly Liberal,White,Do not actively practice a religion
50,577,Omnivore,,,,,,,,,,,,Male,Hawaii,Graduate or professional degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)","Christian (Catholic, Protestant, etc.)"
51,580,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Strongly Liberal,White,Buddhist
52,597,Omnivore,,,,,,,,,,,,Female,Montana,"Some education after high school, no degree",Moderately Conservative,White,Do not actively practice a religion
53,601,Omnivore,,,,,,,,,,,,Female,Indiana,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
54,603,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,73,Female,New Hampshire,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
56,611,Vegetarian,Not at All,Not at All,Not at All,Very Strong,Not at All,Strong,Not at All,Not at All,Mild,Not at All,38,Male,California,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
57,614,Omnivore,,,,,,,,,,,,Male,North Carolina,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
58,616,Omnivore,,,,,,,,,,,,Female,Oklahoma,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
59,622,Omnivore,,,,,,,,,,,,Male,Michigan,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
60,626,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelor’s degree,Moderately Conservative,White,Do not actively practice a religion
61,630,Omnivore,,,,,,,,,,,,Male,Wyoming,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
62,632,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,20,Female,Nevada,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
63,641,Omnivore,,,,,,,,,,,,Female,Michigan,"Some education after high school, no degree",Neutral/Centrist,White,Do not actively practice a religion
64,643,Omnivore,,,,,,,,,,,,Female,Kentucky,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
65,645,Omnivore,,,,,,,,,,,,Female,Colorado,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
66,647,Vegetarian,Somewhat,Not at All,Not at All,Mild,Not at All,Not at All,Not at All,Strong,Not at All,Very Strong,19,Male,New Mexico,Associate’s degree,Strongly Liberal,White,Do not actively practice a religion
67,651,Omnivore,,,,,,,,,,,,Female,Oklahoma,High school diploma (or equivalent),Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
68,652,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
69,661,Omnivore,,,,,,,,,,,,Male,Wyoming,Bachelor’s degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
70,672,Vegan,Strong,Strong,Not at All,Very Strong,Not at All,Not at All,Mild,Somewhat,Not at All,Not at All,20,Male,North Dakota,Graduate or professional degree,Neutral/Centrist,Indian,Other religion (including two or more)
71,675,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Strongly Liberal,Middle Eastern,Jewish
72,682,Vegetarian,Very Strong,Very Strong,Very Strong,Very Strong,Not at All,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,31,Male,Washington,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
73,700,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
74,709,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Graduate or professional degree,Neutral/Centrist,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
75,711,Omnivore,,,,,,,,,,,,Male,Oklahoma,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
78,725,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Moderately Liberal,White,Jewish
79,744,Omnivore,,,,,,,,,,,,Female,Washington,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
80,768,Omnivore,,,,,,,,,,,,Female,Texas,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
82,779,Omnivore,,,,,,,,,,,,Male,Oklahoma,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
83,788,Omnivore,,,,,,,,,,,,Female,North Dakota,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
84,789,Omnivore,,,,,,,,,,,,Male,Georgia,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
85,796,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,26,Female,North Carolina,Bachelor’s degree,Strongly Liberal,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
86,797,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
87,800,Omnivore,,,,,,,,,,,,Female,Connecticut,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
89,819,Omnivore,,,,,,,,,,,,Male,California,Graduate or professional degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Buddhist
90,822,Omnivore,,,,,,,,,,,,Male,Puerto Rico,Bachelor’s degree,Neutral/Centrist,White,Jewish
91,839,Vegetarian,Very Strong,Very Strong,Not at All,Very Strong,Strong,Mild,Very Strong,Somewhat,Not at All,Not at All,32,Female,California,Bachelor’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Buddhist
92,842,Omnivore,,,,,,,,,,,,Male,Kansas,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
93,847,Omnivore,,,,,,,,,,,,Male,California,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
94,848,Vegetarian,Not at All,Not at All,Not at All,Very Strong,Not at All,Strong,Not at All,Not at All,Mild,Not at All,50,Female,Oklahoma,Graduate or professional degree,Moderately Liberal,"Christian (Catholic, Protestant, etc.)",Hindu
95,854,Omnivore,,,,,,,,,,,,Female,West Virginia,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
97,886,Omnivore,,,,,,,,,,,,Male,Michigan,Bachelor’s degree,Strongly Liberal,White,Jewish
98,894,Omnivore,,,,,,,,,,,,Male,Nebraska,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
99,900,Omnivore,,,,,,,,,,,,Female,Washington,Bachelor’s degree,Strongly Liberal,"Christian (Catholic, Protestant, etc.)",Hindu
100,901,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Associate’s degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
101,907,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Bachelor’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Hindu
102,927,Omnivore,,,,,,,,,,,,Female,Delaware,Graduate or professional degree,Moderately Liberal,"Christian (Catholic, Protestant, etc.)","Christian (Catholic, Protestant, etc.)"
103,930,Omnivore,,,,,,,,,,,,Female,Texas,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
104,962,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
105,966,Omnivore,,,,,,,,,,,,Male,Connecticut,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
106,975,Omnivore,,,,,,,,,,,,Male,Georgia,Bachelor’s degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
107,996,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
108,1007,Omnivore,,,,,,,,,,,,Male,Maine,"Some education after high school, no degree",Moderately Conservative,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
109,1018,Omnivore,,,,,,,,,,,,Male,Indiana,"Some education after high school, no degree",Moderately Conservative,White,Other religion (including two or more)
110,1019,Omnivore,,,,,,,,,,,,Male,North Carolina,"Less than 12th grade, no diploma",Neutral/Centrist,White,Do not actively practice a religion
111,1021,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,18,Female,Hawaii,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
112,1029,Omnivore,,,,,,,,,,,,Male,California,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
113,1031,Omnivore,,,,,,,,,,,,Male,California,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
114,1047,Omnivore,,,,,,,,,,,,Female,Minnesota,Bachelor’s degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
115,1066,Omnivore,,,,,,,,,,,,Female,Oklahoma,Graduate or professional degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
116,1096,Omnivore,,,,,,,,,,,,Male,Washington,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
119,1106,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Bachelor’s degree,Strongly Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
120,1110,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Strongly Liberal,White,Other religion (including two or more)
121,1113,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
122,1129,Omnivore,,,,,,,,,,,,Male,West Virginia,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
123,1143,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,35,Female,Wisconsin,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
124,1145,Omnivore,,,,,,,,,,,,Female,Wyoming,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
125,1149,Omnivore,,,,,,,,,,,,Female,Michigan,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
126,1158,Omnivore,,,,,,,,,,,,Male,Colorado,Bachelor’s degree,Neutral/Centrist,Native American or Alaska Native,"Christian (Catholic, Protestant, etc.)"
127,1161,Omnivore,,,,,,,,,,,,Male,California,Graduate or professional degree,Moderately Liberal,White,Jewish
128,1163,Omnivore,,,,,,,,,,,,Male,Indiana,Graduate or professional degree,Strongly Liberal,"Christian (Catholic, Protestant, etc.)","Christian (Catholic, Protestant, etc.)"
129,1181,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,50,Female,Minnesota,"Some education after high school, no degree",Strongly Liberal,"Christian (Catholic, Protestant, etc.)",Hindu
130,1182,Omnivore,,,,,,,,,,,,Female,Mississippi,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
131,1190,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
132,1194,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)",Do not actively practice a religion
133,1212,Vegetarian,Somewhat,Strong,Not at All,Very Strong,Mild,Very Strong,Somewhat,Mild,Not at All,Not at All,50,Female,Pennsylvania,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
134,1213,Omnivore,,,,,,,,,,,,Female,Michigan,Associate’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
135,1221,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,25,Female,Indiana,Graduate or professional degree,Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
136,1228,Omnivore,,,,,,,,,,,,Female,Indiana,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
137,1238,Omnivore,,,,,,,,,,,,Female,West Virginia,Associate’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
138,1242,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
139,1250,Omnivore,,,,,,,,,,,,Male,Indiana,Bachelor’s degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
140,1254,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
141,1259,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
142,1261,Omnivore,,,,,,,,,,,,Female,Wyoming,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
143,1262,Omnivore,,,,,,,,,,,,Male,Pennsylvania,Graduate or professional degree,Moderately Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
144,1264,Omnivore,,,,,,,,,,,,Female,Illinois,Bachelor’s degree,Neutral/Centrist,White,Other religion (including two or more)
145,1267,Vegetarian,Not at All,Not at All,Not at All,Very Strong,Not at All,Strong,Not at All,Not at All,Mild,Not at All,20,Female,Georgia,Associate’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
146,1269,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelor’s degree,Moderately Liberal,White,Other religion (including two or more)
147,1273,Omnivore,,,,,,,,,,,,Female,Wyoming,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
148,1285,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Neutral/Centrist,"Hispanic, Latino, or Spanish origin",Do not actively practice a religion
149,1286,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
150,1288,Omnivore,,,,,,,,,,,,Female,Oklahoma,Associate’s degree,Strongly Liberal,White,"Christian (Catholic, Protestant, etc.)"
151,1298,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,20,Male,Arizona,"Some education after high school, no degree",Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
152,1300,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
154,1305,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,16,Female,California,Bachelor’s degree,Moderately Liberal,White,Buddhist
155,1319,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Strongly Conservative,"Christian (Catholic, Protestant, etc.)",Jewish
156,1324,Omnivore,,,,,,,,,,,,Male,Georgia,"Some education after high school, no degree",Moderately Liberal,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
157,1326,Omnivore,,,,,,,,,,,,Female,Indiana,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
159,1335,Omnivore,,,,,,,,,,,,Female,Texas,Bachelor’s degree,Neutral/Centrist,"Hispanic, Latino, or Spanish origin","Christian (Catholic, Protestant, etc.)"
160,1346,Omnivore,,,,,,,,,,,,Male,Georgia,"Some education after high school, no degree",Strongly Liberal,White,Do not actively practice a religion
161,1351,Omnivore,,,,,,,,,,,,Female,Colorado,Bachelor’s degree,Moderately Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
162,1352,Omnivore,,,,,,,,,,,,Female,Arizona,"Some education after high school, no degree",Strongly Liberal,White,Jewish
163,1363,Omnivore,,,,,,,,,,,,Female,Montana,Bachelor’s degree,Neutral/Centrist,"Christian (Catholic, Protestant, etc.)","Christian (Catholic, Protestant, etc.)"
164,1389,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
165,1395,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,33,Female,West Virginia,Graduate or professional degree,Moderately Liberal,White,Other religion (including two or more)
166,1403,Omnivore,,,,,,,,,,,,Male,North Carolina,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
167,1435,Omnivore,,,,,,,,,,,,Female,Texas,"Some education after high school, no degree",Moderately Liberal,White,Do not actively practice a religion
168,1451,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,18,Female,New Mexico,"Some education after high school, no degree",Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
169,1454,Omnivore,,,,,,,,,,,,Male,Hawaii,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
170,1456,Omnivore,,,,,,,,,,,,Female,Michigan,"Some education after high school, no degree",Moderately Liberal,White,Do not actively practice a religion
171,1461,Vegan,Strong,Somewhat,Not at All,Mild,Strong,Somewhat,Not at All,Not at All,Not at All,Strong,28,Male,North Dakota,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
172,1462,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelor’s degree,Moderately Conservative,White,Jewish
173,1463,Vegan,Somewhat,Mild,Not at All,Somewhat,Not at All,Mild,Mild,Mild,Not at All,Not at All,24,Male,Georgia,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
174,1466,Omnivore,,,,,,,,,,,,Female,Kansas,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
175,1467,Omnivore,,,,,,,,,,,,Female,Puerto Rico,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
176,1478,Omnivore,,,,,,,,,,,,Female,Montana,Bachelor’s degree,Moderately Conservative,"Hispanic, Latino, or Spanish origin",Do not actively practice a religion
177,1480,Vegetarian,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,Not at All,Mild,Not at All,Not at All,31,Female,Georgia,"Some education after high school, no degree",Strongly Conservative,White,"Christian (Catholic, Protestant, etc.)"
178,1482,Omnivore,,,,,,,,,,,,Female,Iowa,Bachelor’s degree,Strongly Liberal,African American or Black,"Christian (Catholic, Protestant, etc.)"
180,1506,Omnivore,,,,,,,,,,,,Female,West Virginia,Bachelor’s degree,Strongly Liberal,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
181,1511,Omnivore,,,,,,,,,,,,Female,Texas,Associate’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
182,1513,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,38,Female,West Virginia,Graduate or professional degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
183,1524,Omnivore,,,,,,,,,,,,Male,Mississippi,Bachelor’s degree,Strongly Liberal,White,Do not actively practice a religion
184,1526,Omnivore,,,,,,,,,,,,Female,New Jersey,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
185,1528,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Strongly Conservative,African American or Black,"Christian (Catholic, Protestant, etc.)"
186,1533,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,19,Female,Puerto Rico,Associate’s degree,Neutral/Centrist,Indian,Hindu
187,1535,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelor’s degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
188,1536,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
189,1546,Omnivore,,,,,,,,,,,,Male,Montana,"Some education after high school, no degree",Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
190,1547,Omnivore,,,,,,,,,,,,Female,Arizona,Bachelor’s degree,Moderately Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
