Survey_ID,Eater_Type,Motivation_Animal_Protection,Motivation_Concern_for_Environment,Motivation_Cost,Motivation_Health,Motivation_Religious_Spiritual_Beliefs,Motivation_Social_Influence ,Motivation_Social_Justice_or_World_Hunger,Motivation_Taste_Preferences,Motivation_Following_Food_Trend,Motivation_Feelings_of_Disgust_about_Meat,Age_Transitioned_to_Vegnism,Gender,State,Education,Political,Race_Ethnicity,Religion
1047,Omnivore,,,,,,,,,,,,Female,Minnesota,Bachelors degree,Neutral/Centrist,African American or Black,Christian (Catholic -  Protestant -  etc.)
1066,Omnivore,,,,,,,,,,,,Female,Oklahoma,Graduate or professional degree,Strongly Liberal,White,Christian (Catholic -  Protestant -  etc.)
1096,Omnivore,,,,,,,,,,,,Male,Washington,Some education after high school -  no degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
1106,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Bachelors degree,Strongly Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
1110,Omnivore,,,,,,,,,,,,Female,Wyoming,Graduate or professional degree,Strongly Liberal,White,Other religion (including two or more)
1113,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
1129,Omnivore,,,,,,,,,,,,Male,West Virginia,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
1143,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,35,Female,Wisconsin,Graduate or professional degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
1145,Omnivore,,,,,,,,,,,,Female,Wyoming,Bachelors degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
1149,Omnivore,,,,,,,,,,,,Female,Michigan,Bachelors degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
1158,Omnivore,,,,,,,,,,,,Male,Colorado,Bachelors degree,Neutral/Centrist,Native American or Alaska Native,Christian (Catholic -  Protestant -  etc.)
1161,Omnivore,,,,,,,,,,,,Male,California,Graduate or professional degree,Moderately Liberal,White,Jewish
1163,Omnivore,,,,,,,,,,,,Male,Indiana,Graduate or professional degree,Strongly Liberal,Christian (Catholic -  Protestant -  etc.),Christian (Catholic -  Protestant -  etc.)
1181,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,50,Female,Minnesota,Some education after high school -  no degree,Strongly Liberal,Christian (Catholic -  Protestant -  etc.),Hindu
1182,Omnivore,,,,,,,,,,,,Female,Mississippi,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
1190,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1194,Omnivore,,,,,,,,,,,,Female,California,Bachelors degree,Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Do not actively practice a religion
1212,Vegetarian,Somewhat,Strong,Not at All,Very Strong,Mild,Very Strong,Somewhat,Mild,Not at All,Not at All,50,Female,Pennsylvania,Graduate or professional degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
1213,Omnivore,,,,,,,,,,,,Female,Michigan,Associates degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
1221,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,25,Female,Indiana,Graduate or professional degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
1228,Omnivore,,,,,,,,,,,,Female,Indiana,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
1238,Omnivore,,,,,,,,,,,,Female,West Virginia,Associates degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
1242,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
1250,Omnivore,,,,,,,,,,,,Male,Indiana,Bachelors degree,Neutral/Centrist,African American or Black,Christian (Catholic -  Protestant -  etc.)
1254,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
1259,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,African American or Black,Christian (Catholic -  Protestant -  etc.)
1261,Omnivore,,,,,,,,,,,,Female,Wyoming,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
1262,Omnivore,,,,,,,,,,,,Male,Pennsylvania,Graduate or professional degree,Moderately Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
1264,Omnivore,,,,,,,,,,,,Female,Illinois,Bachelors degree,Neutral/Centrist,White,Other religion (including two or more)
1267,Vegetarian,Not at All,Not at All,Not at All,Very Strong,Not at All,Strong,Not at All,Not at All,Mild,Not at All,20,Female,Georgia,Associates degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
1269,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelors degree,Moderately Liberal,White,Other religion (including two or more)
1273,Omnivore,,,,,,,,,,,,Female,Wyoming,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
1285,Omnivore,,,,,,,,,,,,Male,California,Bachelors degree,Neutral/Centrist,Hispanic -  Latino -  or Spanish origin,Do not actively practice a religion
1286,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Bachelors degree,Neutral/Centrist,White,Do not actively practice a religion
1288,Omnivore,,,,,,,,,,,,Female,Oklahoma,Associates degree,Strongly Liberal,White,Christian (Catholic -  Protestant -  etc.)
1298,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,20,Male,Arizona,Some education after high school -  no degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
1300,Omnivore,,,,,,,,,,,,Female,California,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
1305,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,16,Female,California,Bachelors degree,Moderately Liberal,White,Buddhist
1319,Omnivore,,,,,,,,,,,,Male,California,Bachelors degree,Strongly Conservative,Christian (Catholic -  Protestant -  etc.),Jewish
1324,Omnivore,,,,,,,,,,,,Male,Georgia,Some education after high school -  no degree,Moderately Liberal,Hispanic -  Latino -  or Spanish origin,Christian (Catholic -  Protestant -  etc.)
1326,Omnivore,,,,,,,,,,,,Female,Indiana,Bachelors degree,Neutral/Centrist,White,Do not actively practice a religion
1335,Omnivore,,,,,,,,,,,,Female,Texas,Bachelors degree,Neutral/Centrist,Hispanic -  Latino -  or Spanish origin,Christian (Catholic -  Protestant -  etc.)
1346,Omnivore,,,,,,,,,,,,Male,Georgia,Some education after high school -  no degree,Strongly Liberal,White,Do not actively practice a religion
1351,Omnivore,,,,,,,,,,,,Female,Colorado,Bachelors degree,Moderately Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
1352,Omnivore,,,,,,,,,,,,Female,Arizona,Some education after high school -  no degree,Strongly Liberal,White,Jewish
1363,Omnivore,,,,,,,,,,,,Female,Montana,Bachelors degree,Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Christian (Catholic -  Protestant -  etc.)
1389,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
1395,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,33,Female,West Virginia,Graduate or professional degree,Moderately Liberal,White,Other religion (including two or more)
1403,Omnivore,,,,,,,,,,,,Male,North Carolina,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1435,Omnivore,,,,,,,,,,,,Female,Texas,Some education after high school -  no degree,Moderately Liberal,White,Do not actively practice a religion
1451,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,18,Female,New Mexico,Some education after high school -  no degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
1454,Omnivore,,,,,,,,,,,,Male,Hawaii,Bachelors degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
1456,Omnivore,,,,,,,,,,,,Female,Michigan,Some education after high school -  no degree,Moderately Liberal,White,Do not actively practice a religion
1461,Vegan,Strong,Somewhat,Not at All,Mild,Strong,Somewhat,Not at All,Not at All,Not at All,Strong,28,Male,North Dakota,Bachelors degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
1462,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelors degree,Moderately Conservative,White,Jewish
1463,Vegan,Somewhat,Mild,Not at All,Somewhat,Not at All,Mild,Mild,Mild,Not at All,Not at All,24,Male,Georgia,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1466,Omnivore,,,,,,,,,,,,Female,Kansas,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
1467,Omnivore,,,,,,,,,,,,Female,Puerto Rico,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
1478,Omnivore,,,,,,,,,,,,Female,Montana,Bachelors degree,Moderately Conservative,Hispanic -  Latino -  or Spanish origin,Do not actively practice a religion
1480,Vegetarian,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,Not at All,Mild,Not at All,Not at All,31,Female,Georgia,Some education after high school -  no degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
1482,Omnivore,,,,,,,,,,,,Female,Iowa,Bachelors degree,Strongly Liberal,African American or Black,Christian (Catholic -  Protestant -  etc.)
1506,Omnivore,,,,,,,,,,,,Female,West Virginia,Bachelors degree,Strongly Liberal,Other race/ethnicity (including two or more),Christian (Catholic -  Protestant -  etc.)
1511,Omnivore,,,,,,,,,,,,Female,Texas,Associates degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
1513,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,38,Female,West Virginia,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
1524,Omnivore,,,,,,,,,,,,Male,Mississippi,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
1526,Omnivore,,,,,,,,,,,,Female,New Jersey,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1528,Omnivore,,,,,,,,,,,,Female,California,Bachelors degree,Strongly Conservative,African American or Black,Christian (Catholic -  Protestant -  etc.)
1533,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,19,Female,Puerto Rico,Associates degree,Neutral/Centrist,Indian,Hindu
1535,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelors degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
1536,Omnivore,,,,,,,,,,,,Female,Oklahoma,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
1546,Omnivore,,,,,,,,,,,,Male,Montana,Some education after high school -  no degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
1547,Omnivore,,,,,,,,,,,,Female,Arizona,Bachelors degree,Moderately Liberal,Other race/ethnicity (including two or more),Do not actively practice a religion
1549,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,35,Female,California,Bachelors degree,Neutral/Centrist,African American or Black,Christian (Catholic -  Protestant -  etc.)
1571,Omnivore,,,,,,,,,,,,Female,Utah,Bachelors degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
1573,Omnivore,,,,,,,,,,,,Female,Pennsylvania,Graduate or professional degree,Moderately Liberal,White,Other religion (including two or more)
1575,Omnivore,,,,,,,,,,,,Male,Michigan,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
1583,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelors degree,Strongly Conservative,White,Jewish
1601,Omnivore,,,,,,,,,,,,Female,Mississippi,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
1620,Omnivore,,,,,,,,,,,,Male,California,Bachelors degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
1630,Omnivore,,,,,,,,,,,,Female,West Virginia,Some education after high school -  no degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
